username,display_name,user_id,Team Name,Active User,nickname
CFB 27 Analyzer#3280,CFB 27 Analyzer,1530231722615246898,,No,
tigerbo134_85571,TigerBo413-Baylor 🐻🟢🟡,1518725345149321337,Baylor,Yes,
clemson256,Clemson256- South Carolina 🐔,1010625119586107482,South Carolina,Yes,
benmoore_91313,Ben (XB) - Cal Bears 🐻,1392129295916466176,California,Yes,
bigdaddydoubles,BigDaddydoubles-OK STATE🔸⚫🔫🤠,1378208565873082402,Oklahoma State,Yes,
rooke1221,Rooke1221 - Hokie Nation,1344382759480721459,Virginia Tech,Yes,Rooke1221 - Hokie Nation
hatch19111,Hatch Arkansas state,1306070287946878990,,No,
martykthe2nd,Marty-FIU,1289985224431636542,,No,Marty-FIU
pancake_bear24_67064,Holdma Dix - Missouri,1266038078250946676,Missouri,Yes,Holdma Dix - Missouri
tigerbrave27,Tigerbrave27 - Colorado 🦬,1264702227197591555,Colorado,Yes,Tigerbrave27 - Colorado 🦬
abmtigers,abmtigers-ECU,1261720037622808606,,No,
mtorricos,MarceloT03 (S. Alabama),1261690543277211691,,No,
waterfowlobession_00408,Waterfowlobession-SC,1260608886574940203,,No,
jdwright1414,son_of_beef - Virginia Wahoos,1259468750105743410,Virginia,Yes,son_of_beef - Virginia Wahoos
ietiger81,Brian [PS] - Arizona St 🔱,1254972344070311970,Arizona State,Yes,Brian [PS] - Arizona St 🔱
aalexbailey,aalexbailey- PittsBURGh,1123408868458889306,Pittsburgh,Yes,aalexbailey- PittsBURGh
bearofswag,Bear of Swag - Stanford,1069336188726554824,Stanford,Yes,Bear of Swag - Stanford
Subo the Survey Bot#1969,Subo the Survey Bot,946888973035380806,,No,
cfuller23,SMU - STANGS,931224677345546291,SMU,Yes,SMU - STANGS
mixmastermike5775,TourJorsPret - Commish Emeritus,877842893140787200,,No,TourJorsPret - Commish Emeritus
toasted4981,toasted (OG),817143945192407050,,No,
dbailey287,Clemsontigers1 [XB]-Arkansas 🐗,796043766695067719,Arkansas,Yes,Clemsontigers1 [XB]-Arkansas 🐗
clemsonmax5331,ClemsonMax- Ragin Cajuns,789299275468242954,,No,
ruhrahtiger,ruhrahtiger- Texas State,704890016123584552,,No,ruhrahtiger- Texas State
whobedis,Whobedis - Wisconsin 🦡,655928286526046228,Wisconsin,No,Whobedis - Wisconsin 🦡
jwmd02,GarnetBlood- West Virginia,546797525919596564,West Virginia,Yes,GarnetBlood- West Virginia
dbherron,chefkdh-Northwestern,476855101353623582,Northwestern,Yes,chefkdh-Northwestern
reign_man34,Reign_man  🛕 ⚪🦉🔴,402459179417206784,Temple,Yes,Reign_man  🛕 ⚪🦉🔴
travisdunn070896,Travy - Kentucky,1358920417347108874,Kentucky,Yes,
coys35,Tom - Maryland,345353840234856449,Maryland,Yes,
