Season,Team,Conference,Conf_W,Conf_L,Conf_Record
2026,Arizona State,PAC-12,2,6,2-6
2026,Arkansas,SEC,7,1,7-1
2026,Baylor,BIG 12,5,3,5-3
2026,California,PAC-12,7,1,7-1
2026,Colorado,BIG 12,8,0,8-0
2026,Kentucky,SEC,4,4,4-4
2026,Maryland,BIG TEN,6,2,6-2
2026,Missouri,BIG 12,7,1,7-1
2026,Northwestern,BIG TEN,2,6,2-6
2026,Oklahoma State,BIG 12,6,2,6-2
2026,Pittsburgh,ACC,8,0,8-0
2026,SMU,MWC,8,0,8-0
2026,South Carolina,SEC,7,1,7-1
2026,Stanford,PAC-12,5,3,5-3
2026,Temple,AMERICAN,8,0,8-0
2026,Virginia,ACC,6,2,6-2
2026,Virginia Tech,ACC,2,6,2-6
2026,West Virginia,CUSA,7,1,7-1
