Season,Team,User,Week,Date,Location,Opponent_Rank,Opponent,Opponent_User,Matchup_Type,Status,Outcome,Team_Score,Opponent_Score,Margin,Last_Updated
2026,Arizona State,Brian,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:39:50
2026,Arizona State,Brian,1,"Sat, Sep 5",Home,-,FCS Midwest,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:39:50
2026,Arizona State,Brian,2,"Thu, Sep 10",Home,-,UTSA,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:39:50
2026,Arizona State,Brian,3,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:39:50
2026,Arizona State,Brian,4,"Sat, Sep 26",Away,-,Washington State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:39:50
2026,Arizona State,Brian,5,"Sat, Oct 3",Home,-,UCF,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:39:50
2026,Arizona State,Brian,6,"Sat, Oct 10",Home,2,Oregon,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:39:50
2026,Arizona State,Brian,7,"Sat, Oct 17",Away,-,Oregon State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:39:50
2026,Arizona State,Brian,8,"Sat, Oct 24",Away,19,Utah,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:39:49
2026,Arizona State,Brian,9,"Sat, Oct 31",Away,12,BYU,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:39:49
2026,Arizona State,Brian,10,"Sat, Nov 7",Away,-,Colorado,tigerbrave27,User vs User,Upcoming,-,,,,2026-07-24 16:39:49
2026,Arizona State,Brian,11,"Sat, Nov 14",Home,15,USC,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:39:49
2026,Arizona State,Brian,12,"Sat, Nov 21",Home,-,California,Ben,User vs User,Upcoming,-,,,,2026-07-24 16:39:49
2026,Arizona State,Brian,13,"Sat, Nov 28",Home,-,Arizona,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:39:49
2026,Arizona State,Brian,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:39:49
2026,Arizona State,Brian,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:39:49
2026,Arizona State,Brian,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:39:49
2026,Arkansas,Clemsontigers1,0,"Sat, Aug 29",Away,-,Missouri,Holdma Dix,User vs User,Completed,W,42.0,21.0,21.0,2026-07-24 16:39:58
2026,Arkansas,Clemsontigers1,1,"Sat, Sep 5",Home,1,Ohio State,CPU,User vs CPU,Completed,W,38.0,28.0,10.0,2026-07-24 16:39:58
2026,Arkansas,Clemsontigers1,2,"Sat, Sep 12",Home,19,Utah,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:39:58
2026,Arkansas,Clemsontigers1,3,"Sat, Sep 19",Away,4,Georgia,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:39:58
2026,Arkansas,Clemsontigers1,4,"Sat, Sep 26",Away,9,Ole Miss,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:39:58
2026,Arkansas,Clemsontigers1,5,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:39:58
2026,Arkansas,Clemsontigers1,6,"Sat, Oct 10",Home,20,Tennessee,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:39:58
2026,Arkansas,Clemsontigers1,7,"Sat, Oct 17",Home,-,Vanderbilt,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:39:58
2026,Arkansas,Clemsontigers1,8,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:00
2026,Arkansas,Clemsontigers1,9,"Sat, Oct 31",Home,13,Alabama,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:00
2026,Arkansas,Clemsontigers1,10,"Sat, Nov 7",Home,-,Kentucky,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:00
2026,Arkansas,Clemsontigers1,11,"Sat, Nov 14",Away,-,South Carolina,Clemson256,User vs User,Upcoming,-,,,,2026-07-24 16:40:00
2026,Arkansas,Clemsontigers1,12,"Sat, Nov 21",Home,7,Texas,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:00
2026,Arkansas,Clemsontigers1,13,"Sat, Nov 28",Away,11,LSU,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:40:00
2026,Arkansas,Clemsontigers1,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:40:00
