Team,User,Week,Date,Location,Opponent_Rank,Opponent,Opponent_User,Matchup_Type,Status,Outcome,Team_Score,Opponent_Score,Margin,Last_Updated,Season,Opponent_Rank_At_Game
Arizona State,ietiger81,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:39,2026,
Arizona State,ietiger81,1,"Sat, Sep 5",Home,-,FCS Midwest,CPU,User vs CPU,Completed,W,52.0,17.0,35.0,2026-08-08 12:18:39,2026,-
Arizona State,ietiger81,2,"Thu, Sep 10",Home,-,UTSA,CPU,User vs CPU,Completed,W,45.0,16.0,29.0,2026-08-08 12:18:39,2026,-
Arizona State,ietiger81,3,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:39,2026,
Arizona State,ietiger81,4,"Sat, Sep 26",Away,-,Washington State,CPU,User vs CPU,Completed,W,42.0,39.0,3.0,2026-08-08 12:18:39,2026,-
Arizona State,ietiger81,5,"Sat, Oct 3",Home,-,UCF,CPU,User vs CPU,Completed,W,41.0,31.0,10.0,2026-08-08 12:18:39,2026,-
Arizona State,ietiger81,6,"Sat, Oct 10",Home,-,Oregon,CPU,User vs CPU,Completed,L,0.0,31.0,-31.0,2026-08-08 12:18:39,2026,-
Arizona State,ietiger81,7,"Sat, Oct 17",Away,-,Oregon State,CPU,User vs CPU,Completed,L,24.0,38.0,-14.0,2026-08-08 12:18:39,2026,-
Arizona State,ietiger81,8,"Sat, Oct 24",Away,-,Utah,CPU,User vs CPU,Completed,L,13.0,14.0,-1.0,2026-08-08 12:18:39,2026,-
Arizona State,Brian,9,"Sat, Oct 31",Away,6,BYU,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:44:45,2026,
Arizona State,Brian,10,"Sat, Nov 7",Away,-,Colorado,tigerbrave27,User vs User,Upcoming,-,,,,2026-07-25 13:44:45,2026,
Arizona State,Brian,11,"Sat, Nov 14",Home,9,USC,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:44:45,2026,
Arizona State,Brian,12,"Sat, Nov 21",Home,-,California,Ben,User vs User,Upcoming,-,,,,2026-07-25 13:44:45,2026,
Arizona State,Brian,13,"Sat, Nov 28",Home,23,Arizona,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:44:45,2026,
Arizona State,Brian,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:44:45,2026,
Arizona State,Brian,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:44:45,2026,
Arizona State,Brian,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:44:45,2026,
Arkansas,dbailey287,0,"Sat, Aug 29",Away,21,Missouri,pancake_bear24_67064,User vs User,Completed,W,42.0,21.0,21.0,2026-08-08 12:18:38,2026,-
Arkansas,dbailey287,1,"Sat, Sep 5",Home,9,Ohio State,CPU,User vs CPU,Completed,W,38.0,28.0,10.0,2026-08-08 12:18:38,2026,1
Arkansas,dbailey287,2,"Sat, Sep 12",Home,-,Utah,CPU,User vs CPU,Completed,W,31.0,30.0,1.0,2026-08-08 12:18:38,2026,-
Arkansas,dbailey287,3,"Sat, Sep 19",Away,-,Georgia,CPU,User vs CPU,Completed,W,45.0,20.0,25.0,2026-08-08 12:18:38,2026,3
Arkansas,dbailey287,4,"Sat, Sep 26",Away,-,Ole Miss,CPU,User vs CPU,Completed,W,45.0,38.0,7.0,2026-08-08 12:18:38,2026,15
Arkansas,dbailey287,5,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:38,2026,
Arkansas,dbailey287,6,"Sat, Oct 10",Home,-,Tennessee,CPU,User vs CPU,Completed,W,49.0,46.0,3.0,2026-08-08 12:18:38,2026,-
Arkansas,dbailey287,7,"Sat, Oct 17",Home,-,Vanderbilt,CPU,User vs CPU,Completed,W,45.0,38.0,7.0,2026-08-08 12:18:38,2026,-
Arkansas,dbailey287,8,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:38,2026,
Arkansas,Clemsontigers1,9,"Sat, Oct 31",Home,7,Alabama,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:44:51,2026,
