Season,Team,Conference,National_Rank,Total_Commits,NIL_Spent,Five_Star,Four_Star,Three_Star,Two_Star,One_Star,PTS
2026,Arizona State,PAC-12,28,14,1650,0,1,13,0,0,159.2
2026,Arkansas,SEC,42,8,1510,1,6,1,0,0,145.9
2026,Baylor,BIG 12,122,4,420,0,1,3,0,0,63.8
2026,California,PAC-12,36,11,685,0,3,8,0,0,150.6
2026,Colorado,BIG 12,34,14,605,0,0,14,0,0,154.2
2026,Kentucky,SEC,31,15,655,0,0,15,0,0,158.7
2026,Maryland,BIG TEN,49,13,235,0,0,8,5,0,135.45
2026,Missouri,BIG 12,106,5,615,0,4,1,0,0,92.05
2026,Northwestern,BIG TEN,130,3,105,0,0,3,0,0,44.55
2026,Oklahoma State,BIG 12,55,8,955,0,5,3,0,0,132.6
2026,Pittsburgh,ACC,45,10,995,0,3,7,0,0,142.5
2026,SMU,MWC,27,12,1415,1,3,6,2,0,162.3
2026,South Carolina,SEC,20,17,1320,0,2,15,0,0,175.55
2026,Stanford,PAC-12,61,10,400,0,0,10,0,0,127.65
2026,Temple,AMERICAN,113,6,85,0,0,6,0,0,85.35
2026,Virginia,ACC,54,10,790,0,1,9,0,0,132.65
2026,Virginia Tech,ACC,105,5,525,0,4,1,0,0,92.05
2026,West Virginia,CUSA,44,12,450,0,0,12,0,0,142.8
