Season,Team,Conference,NIL_Total,NIL_QB,NIL_RB,NIL_WR,NIL_TE,NIL_OL,NIL_DL,NIL_LB,NIL_DB,NIL_KP
2026,Arizona State,PAC-12,1500,145,70,355,0,60,415,165,290,0
2026,Arkansas,SEC,1405,80,250,285,30,205,340,40,175,0
2026,Baylor,BIG 12,975,175,210,160,0,20,205,60,145,0
2026,California,PAC-12,1460,240,50,470,240,180,130,0,150,0
2026,Colorado,BIG 12,1565,100,125,590,0,90,70,255,335,0
2026,Kentucky,SEC,1350,160,190,90,20,320,330,0,240,0
2026,Maryland,BIG TEN,1330,160,105,80,165,175,390,180,75,0
2026,Missouri,BIG 12,2435,175,540,325,115,655,320,95,210,0
2026,Northwestern,BIG TEN,1180,140,195,205,0,225,75,0,340,0
2026,Oklahoma State,BIG 12,1650,285,335,515,20,85,135,155,120,0
2026,Pittsburgh,ACC,1350,175,270,80,0,215,335,50,225,0
2026,SMU,MWC,1860,260,210,270,90,700,255,50,25,0
2026,South Carolina,SEC,1930,245,140,320,10,310,650,0,255,0
2026,Stanford,PAC-12,490,55,50,0,0,75,10,155,145,0
2026,Temple,AMERICAN,645,90,40,140,160,160,55,0,0,0
2026,Virginia,ACC,1915,120,235,140,0,440,330,155,495,0
2026,Virginia Tech,ACC,1520,105,210,245,180,50,285,0,420,25
2026,West Virginia,CUSA,930,120,300,70,0,230,140,0,70,0
