Season,Team,Conference
2026,Air Force,MWC
2026,Alabama,SEC
2026,Arizona,PAC-12
2026,Arizona State,PAC-12
2026,Arkansas,SEC
2026,Army,AMERICAN
2026,Auburn,SEC
2026,BYU,PAC-12
2026,Baylor,BIG 12
2026,Boise State,MWC
2026,Boston College,ACC
2026,California,PAC-12
2026,Charlotte,AMERICAN
2026,Cincinnati,CUSA
2026,Clemson,ACC
2026,Colorado,BIG 12
2026,Colorado State,MWC
2026,Delaware,CUSA
2026,Duke,ACC
2026,East Carolina,AMERICAN
2026,FIU,CUSA
2026,FLA Atlantic,AMERICAN
2026,Florida,SEC
2026,Florida State,ACC
2026,Fresno State,MWC
2026,Georgia,SEC
2026,Georgia Tech,ACC
2026,Hawai'i,MWC
2026,Houston,BIG 12
2026,Illinois,BIG TEN
2026,Indiana,BIG TEN
2026,Iowa,BIG TEN
2026,Iowa State,BIG 12
2026,Jax State,CUSA
2026,Kansas,BIG 12
2026,Kansas State,BIG 12
2026,Kennesaw St.,CUSA
2026,Kentucky,SEC
2026,LSU,SEC
2026,Liberty,CUSA
2026,Louisiana Tech,CUSA
2026,Louisville,ACC
2026,Maryland,BIG TEN
2026,Memphis,AMERICAN
2026,Miami,ACC
2026,Michigan,BIG TEN
2026,Michigan State,BIG TEN
2026,Middle Tenn,CUSA
2026,Minnesota,BIG TEN
2026,Mississippi St,SEC
2026,Missouri,BIG 12
2026,Missouri State,CUSA
2026,NC State,ACC
2026,NDSU,MWC
2026,Navy,AMERICAN
2026,Nebraska,BIG 12
2026,Nevada,MWC
2026,New Mexico,MWC
2026,New Mexico St.,CUSA
2026,North Carolina,ACC
2026,North Texas,AMERICAN
2026,Northwestern,BIG TEN
2026,Ohio State,BIG TEN
2026,Oklahoma,BIG 12
2026,Oklahoma State,BIG 12
2026,Ole Miss,SEC
2026,Oregon,PAC-12
2026,Oregon State,PAC-12
2026,Penn State,BIG TEN
2026,Pittsburgh,ACC
2026,Purdue,BIG TEN
2026,Rice,AMERICAN
2026,Rutgers,BIG TEN
2026,SMU,MWC
2026,Sam Houston,CUSA
2026,San Diego St.,MWC
2026,San Jose State,MWC
2026,South Carolina,SEC
2026,Stanford,PAC-12
2026,Syracuse,ACC
2026,TCU,BIG 12
2026,Temple,AMERICAN
2026,Tennessee,SEC
2026,Texas,BIG 12
2026,Texas A&M,BIG 12
2026,Texas Tech,BIG 12
2026,Tulane,AMERICAN
2026,Tulsa,AMERICAN
2026,UAB,AMERICAN
2026,UCLA,PAC-12
2026,UNLV,MWC
2026,USC,PAC-12
2026,USF,AMERICAN
2026,UTEP,CUSA
2026,UTSA,AMERICAN
2026,Utah,PAC-12
2026,Utah State,MWC
2026,Vanderbilt,SEC
2026,Virginia,ACC
2026,Virginia Tech,ACC
2026,W. Kentucky,CUSA
2026,Wake Forest,ACC
2026,Washington,PAC-12
2026,Washington St.,PAC-12
2026,West Virginia,CUSA
2026,Wisconsin,BIG TEN
2026,Wyoming,MWC
