Season,Rank,Team,Record
2026,1,South Carolina,11-1
2026,2,California,11-1
2026,3,SMU,12-0
2026,4,Pittsburgh,12-0
2026,5,LSU,10-2
2026,6,Colorado,12-0
2026,7,Arkansas,11-1
2026,8,Ohio State,9-3
2026,9,Miami,9-3
2026,10,Michigan,10-2
2026,11,Virginia,10-2
2026,12,Oklahoma State,10-2
2026,13,BYU,9-3
2026,14,USC,9-3
2026,15,Oregon,8-4
2026,16,Oklahoma,9-3
2026,17,Baylor,9-3
2026,18,Temple,10-2
2026,19,Indiana,9-3
2026,20,Boise State,10-2
2026,21,Missouri,9-3
2026,22,Louisville,9-3
2026,23,Michigan State,8-4
2026,24,Texas A&M,7-5
2026,25,Delaware,9-3
