Season,Poll_Number,Scraped_Date,Rank,Team,Record
2026,1,2026-08-22,1,South Carolina,11-1
2026,1,2026-08-22,2,California,11-1
2026,1,2026-08-22,3,SMU,12-0
2026,1,2026-08-22,4,Pittsburgh,12-0
2026,1,2026-08-22,5,LSU,10-2
2026,1,2026-08-22,6,Colorado,12-0
2026,1,2026-08-22,7,Arkansas,11-1
2026,1,2026-08-22,8,Ohio State,9-3
2026,1,2026-08-22,9,Miami,9-3
2026,1,2026-08-22,10,Michigan,10-2
2026,1,2026-08-22,11,Virginia,10-2
2026,1,2026-08-22,12,Oklahoma State,10-2
2026,1,2026-08-22,13,BYU,9-3
2026,1,2026-08-22,14,USC,9-3
2026,1,2026-08-22,15,Oregon,8-4
2026,1,2026-08-22,16,Oklahoma,9-3
2026,1,2026-08-22,17,Baylor,9-3
2026,1,2026-08-22,18,Temple,10-2
2026,1,2026-08-22,19,Indiana,9-3
2026,1,2026-08-22,20,Boise State,10-2
2026,1,2026-08-22,21,Missouri,9-3
2026,1,2026-08-22,22,Louisville,9-3
2026,1,2026-08-22,23,Michigan State,8-4
2026,1,2026-08-22,24,Texas A&M,7-5
2026,1,2026-08-22,25,Delaware,9-3
